"user";"content";"tags"
"yopmail+lucas@make.org";"Il faut que l'UE lie des partenariats économiques forts avec tout le M-O et l'Afrique, l'argent évite la guerre.";"criminalité"
"gabi.strav@gmail.com";"Il faut un grand média publique, politique, démocrate, populaire et impartial !";"exemplarité & transparence"
"yopmail+samuel@make.org";"Il faut que tous les livres écrits par les candidats à la présidence et lors des élections mêmes soient gratuits pour toutes et tous!";"élections|exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut que pour chaque projet de loi, des groupes de citoyens et d'experts de tous les horizons soient sollicités";"exemplarité & transparence|participation citoyenne"
"yopmail+paul@make.org";"Il faut organiser la police pour que les policiers soient plus sur le terrain (plus que les 15% de leur temps de travail actuellement)";"police"
"yopmail+robin@make.org";"Il faut contrôler la présence des députés à l'Assemblée Nationale, et adapter leur salaire en fonction";"exemplarité & transparence|élections"
"yopmail+alexandre@make.org";"Il faut interdire en prison la pratique de la religion ainsi que la venue de représentant de ces dernières";"justice"
"yopmail+sylvie@make.org";"Il faut imposer à nos élus la retraite obligatoire à 65 ans comme pour tous les français.";"élections"
"nc+irene@make.org";"Il faut envisager la castration physique des violeurs et / ou agresseurs sexuels";"justice|police|criminalité"
"yopmail+samuel@make.org";"Il faut réformer le système d'emprisonnement avec suivi des criminels et réinsertion sociale pour désengorger les prisons";"justice"
"yopmail+christine@make.org";"Il faut instaurer les référendums d'initiative populaire.";"participation citoyenne|institutions"
"yopmail+annonymous@make.org";"Il faut payer les parlementaires en fonction de leur présence dans l'hémicycle. (présent à 50% = payé à 50%)";"élections"
"yopmail+anthony@make.org";"Il faut d'abord connaître les causes de la radicalisation... éducation ? scolarité ? intégration sociale ? chômage ?";"religions & laïcité"
"n.harmand@laposte.net";"Il faut un audit scientifique des programmes politique. Il ne faut pas qu'il donne un avis sur tout, mais ceux ayant consensus scientifique";"élections"
"yopmail+clairet@make.org";"Il faut remettre en activité les détenus qui n'ont pas à être enfermés par des TIG auprès des communes et hôpitaux";"justice|justice"
"yopmail+chloe@make.org";"Il faut écouter le peuple en tirant au sort chaque mois 10 personnes pour discuter de questions fondamentales.";"participation citoyenne"
"yopmail+jean-michel@make.org";"Il faut mettre en place des assemblées locales où les citoyens peuvent proposer/voter des lois locales puis nationales.";"participation citoyenne"
"yopmail+jean-luc@make.org";"Il faut mettre en place le mandat impératif pour qu'on puisse révoquer un élu quand il ne respecte pas ses engagements";"élections|exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut interdire le cumul des mandats";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut automatiser les peines pour les infractions routières";"justice"
"yopmail+nans@make.org";"Il faut recommencer un scrutin si les votes exprimés sont inférieurs à 50% des inscrits sur les listes";"élections"
"yopmail+paul@make.org";"Il faut instaurer une part de tirage au sort dans toutes les élections.";"élections"
"yopmail+margot@make.org";"Il faut que les élus aient un casier vierge.";"exemplarité & transparence"
"yopmail+celia@make.org";"Il faut plus de contrôles au niveau des métros (détecteur de métaux), cinéma, lieux fermés ..";"criminalité"
"yopmail+thomas@make.org";"Il faut que toute action de guerre soit décidée par référendum";"participation citoyenne"
"yopmail+annonymous@make.org";"Il faut limiter le nombre de mandats dans une vie, pour que cette dernière ne soit pas consacrée que à la politique";"exemplarité & transparence"
"gabi.strav@gmail.com";"Il faut que les grands médias nationaux soient impartiaux avec les partis politiques, même les plus extrêmes.";"exemplarité & transparence"
"yopmail+louis@make.org";"Il faut repenser les quartiers qui sont devenus des ghettos, les rendre attrayants pour y permettre mixité et intégration.";"quartiers sensibles"
"frederic.scheffler@icloud.com";"Il faut éduquer les services de police et gendarmerie sur leurs droits.";"justice|terrorisme|police"
"yopmail+annonymous@make.org";"Il faut rendre obligatoire la présence des élus aux séances parlementaires, sous peine de destitution.";"exemplarité & transparence|élections"
"yopmail+annonymous@make.org";"Il faut transformer le Sénat en Assemblée citoyenne tirée au sort sur les listes électorales.";"participation citoyenne|institutions"
"yopmail+theophile@make.org";"Il faut plus de rapidité dans le processus d'adoption des lois.";"institutions"
"yopmail+solene@make.org";"Il faut une inéligibilité pour tous les élus accusés d'agression, d'exhibition ou de harcèlement sexuel.";"exemplarité & transparence"
"yopmail+arnaud@make.org";"Il faut interdire aux médias de donner les noms des terroristes présumes ou non pour éviter toute glorification";"terrorisme"
"yopmail+gilles@make.org";"Il faut corréler la rémunération des élus à leur présences aux assemblées et à leur travail effectif";"exemplarité & transparence|élections"
"yopmail+annonymous@make.org";"Il faut rendre inéligible toute personne condamnée pour détournement de fonds ou fraude électorale.";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut établir le cumul des peines.";"justice"
"yopmail+solveig@make.org";"Il faut avoir une expérience de terrain dans le domaine d'expertise d'un ministère avant d'y être assigné.";"exemplarité & transparence"
"yopmail+damien@make.org";"Il faut élire plusieurs présidents, pour atténuer le culte de la personnalité et la concentration du pouvoir";"institutions"
"yopmail+remi@make.org";"Il faut attaquer le terrorisme au niveau des finances, plutôt que de bombarder des villes et faire des victimes civiles.";"terrorisme"
"yopmail+marie-eve@make.org";"Il faut limiter le cumul des mandats dans le temps afin de généraliser les allers-retours entre vie civile et vie politique.";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut reconnaître le racisme et le sexisme institutionnels";"parité"
"yopmail+killian@make.org";"Il faut 2h de cours par semaine à l'école sur des sujets d'actualités. Exprimer son opinion et respecter celle des autres.";"éducation civique"
"yopmail+jeremy@make.org";"Il faut redéfinir la légitime défense";"justice"
"yopmail+christophe@make.org";"Il faut Organiser des G1000 où des citoyens tirés au sort proposent des solutions sur un sujet précis après débats ...";"participation citoyenne"
"yopmail+jeremy@make.org";"Il faut encourager les associations préventives de la radicalisation dans les quartiers.";"religions & laïcité|quartiers sensibles"
"yopmail+annonymous@make.org";"Il faut en aucun cas accepter le retour sur le territoire national d'une personne ayant fait le djihad";"terrorisme"
"yopmail+paul@make.org";"Il faut créer une assemblée citoyenne tirée au sort chargée de proposer des projets de lois.";"participation citoyenne|institutions"
"yopmail+bob@make.org";"Il faut cesser de voter pour des élus mais pour des programmes. L'élue sera tiré au sort parmi les porteurs du projet";"élections"
"yopmail+annonymous@make.org";"Il faut dès qu'un élu est mis en examen qu'une commission citoyenne décide de son maintien ou non dans la vie publique";"participation citoyenne|exemplarité & transparence"
"yopmail+pierre@make.org";"Il faut imposer à chaque parti des quotas pour l'âge des députés, à l'image du quota pour la parité homme/femme.";"exemplarité & transparence"
"yopmail+florence@make.org";"Il faut passer par les fondamentaux que sont l'école et l'alphabétisation dans les prisons.";"justice"
"yopmail+annonymous@make.org";"Il faut organiser la journée du débat citoyen, un jour férié pour affuter son sens politique";"participation citoyenne"
"gabi.strav@gmail.com";"Il faut quitter l'UE si nous voulons la démocratie, c'est un fait. ";"exemplarité & transparence"
"67nico67@gmail.com";"Il faut privatiser les prisons comme aux USA pour créer plus de places afin que les peines de prison ferme soient réellement appliquées. ";"justice|justice"
"yopmail+annonymous@make.org";"Il faut que des organismes institutionnalisés fact-checkent les déclarations politiques.";"exemplarité & transparence"
"yopmail+sabine@make.org";"Il faut renforcer les pouvoirs du journalisme d'investigation et l'independence de la presse";"exemplarité & transparence"
"gunman60@hotmail.fr";"Il faut arrêter de mettre en prison des gens qui se sont défendu lors d'une agression";"justice"
"yopmail+thomas@make.org";"Il faut organiser des assises nationales où les citoyens réécriront la constitution et notre système démocratique.";"participation citoyenne|institutions"
"yopmail+annonymous@make.org";"Il faut utiliser les réservistes pour suppléer les policiers et gendarmes";"militaire"
"yopmail+robinson@make.org";"Il faut réduire le temps de travail afin de dégager du temps pour l'investissement citoyen en politique.";"participation citoyenne"
"yopmail+emilie@make.org";"Il faut interdire aux hommes politiques de se dénigrer entre eux, cela leur fait perdre toute crédibilité !";"exemplarité & transparence"
"yopmail+emil@make.org";"Il faut, en prison, séparer les détenus radicalisés des autres détenus et les faire parler avec des déradicalisés.";"religions & laïcité|justice"
"yopmail+annonymous@make.org";"Il faut éviter et sanctionner les conflits d'intérêt au sein du gouvernement français et de l'Union Européenne.";"exemplarité & transparence"
"yopmail+adrien@make.org";"Il faut élire le premier ministre et tous les ministres au suffrage universel direct";"élections"
"yopmail+annonymous@make.org";"Il faut obliger les jeunes condamnés pour des délits à effectuer des missions humanitaires. Ca aide à réflechir";"justice"
"yopmail+sabrina@make.org";"Il faut proposer un lieu de culture et d'échange dans les quartiers sensibles privilégiant les ateliers socioculturels.";"quartiers sensibles"
"yopmail+annonymous@make.org";"Il faut instaurer une limite d'âge pour se présenter à un poste d'élu";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut moderniser les équipements, armes, véhicules, tenues, commissariats.";"police"
"yopmail+christopher@make.org";"Il faut créer une filière judiciaire spécialisée dans le terrorisme.";"terrorisme|justice"
"yopmail+adrien@make.org";"Il faut relancer un service militaire ou civil de 6 mois pour l'ensemble des citoyennes et des citoyens.";"militaire"
"yopmail+annonymous@make.org";"Il faut suprimer l'Ecole Nationale d'Administration !";"institutions"
"yopmail+jean-baptiste@make.org";"Il faut que les indemnités des élus soient imposables comme les revenus de tous les citoyens.";"élections"
"yopmail+annonymous@make.org";"Il faut détruire l'idée même de représentation politique pour privilégier les actions locales et autonomes.";"collectivités locales"
"yopmail+yann@make.org";"Il faut interdire le lobbyisme.";"exemplarité & transparence"
"yopmail+mael@make.org";"Il faut créer une agence nationale de lutte contre les extrémismes gérant un grand plan de prévention/déradicalisation.";"religions & laïcité"
"yopmail+sabrina@make.org";"Il faut contrôler l'influence des chefs religieux et écarter ceux qui prôneraient un message d'intolérance, de haine.";"religions & laïcité"
"yopmail+cfan@make.org";"Il faut un mandat non renouvelable de 7 ans pour le Président de la République.";"institutions|exemplarité & transparence"
"yopmail+doc@make.org";"Il faut booster le renseignement, intervenir avant l'action car rien n'arrêtera un terroriste pendant l'action.";"terrorisme"
"yopmail+annonymous@make.org";"Il faut donner le droit de votes aux étrangers dès lors qu'ils payent des impôts";"élections"
"yopmail+raphael@make.org";"Il faut enseigner la critique, et l'analyse politique au lycée pour donner au citoyen les moyens de voter intelligemment";"éducation civique"
"yopmail+annonymous@make.org";"Il faut rétablir la peine de mort.";"justice"
"yopmail+thomas@make.org";"Il faut créer des places de prison pour que les juges y mettent les délinquants";"justice"
"yopmail+annonymous@make.org";"Il faut supprimer les conseils départementaux";"institutions|collectivités locales"
"yopmail+stephane@make.org";"Il faut interdire aux parlementaires de voter les lois qui les impactent directement.";"exemplarité & transparence"
"yopmail+thomas@make.org";"Il faut promouvoir la mixité socio-spatiale pour pouvoir réconcilier tous les français et apprendre à connaître l'autre'";"éducation civique"
"yopmail+thierry@make.org";"Il faut que tout politicien qui ont une fraude fiscale ne puisse plus exercer pendant 20 ans";"exemplarité & transparence"
"yopmail+marie-daudrix@make.org";"Il faut fermer les frontières aux personnes n'ayant pas les papiers nécessaires pour entrer en France.";"terrorisme"
"delphine.bout@gmail.com";"Il faut engager une réflexion sur de nouveaux modes électoraux / décisionnels impliquant une plus grande partie de la population.";"élections"
"yopmail+victor@make.org";"Il faut des comités de citoyens qui suivent la tenue des promesses de campagne des élus";"participation citoyenne|exemplarité & transparence"
"yopmail+emilie@make.org";"Il faut renforcer les pouvoirs et les moyens de l'agence Frontex pour la protection des frontières extérieures de l'UE.";"criminalité"
"yopmail+annonymous@make.org";"Il faut appliquer systématiquement les amendes dédiées aux incivilités";"justice"
"yopmail+laurent@make.org";"Il faut interdire le passage en force des textes de lois (49.3, etc.)";"institutions"
"yopmail+sylvie@make.org";"Il faut supprimer tous les avantages aux anciens Présidents et Premiers ministres";"élections"
"yopmail+annonymous@make.org";"Il faut que les étrangers condamnés effectuent leurs peines de prison dans leur pays respectif";"justice|justice"
"yopmail+hakim@make.org";"Il faut rétablir la peine de mort pour les trafiquants et dealers de drogue.";"justice|criminalité"
"yopmail+annonymous@make.org";"Il faut que l'ensemble des outils informatiques utilisés dans les administrations soient open source";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut créer une plateforme numérique publique pour organiser la participation citoyenne.";"participation citoyenne"
"yopmail+jean-baptiste@make.org";"Il faut demander aux musulmans d'éclairer en consensus les passages coraniques sur le djihâd.";"religions & laïcité"
"yopmail+guy@make.org";"Il faut supprimer le port des armes par les agents des forces de l'ordre.";"police"
"yopmail+annonymous@make.org";"Il faut supprimer le Sénat";"institutions"
"yopmail+margot@make.org";"Il faut que les élus soient révocables à tout moment.";"institutions"
"yopmail+pol@make.org";"Il faut une application mobile permettant de comparer les programmes des candidats sur les sujets qui nous intéressent";"élections|exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut absolument simplifier le processus de vote grâce aux technologies numériques.";"élections"
"yopmail+poulain@make.org";"Il faut que le president se presente aux élections avec son premier ministre";"élections"
"gabi.strav@gmail.com";"Il faut arrêter de forcer les partis politiques à prendre des femmes avec les quotas, ça ne marche pas. Il faut les motiver et les engager !";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut qu'un accident mortel de la route causé par l'emprise de l'alcool ou de la drogue soit considéré comme un homicide volontaire";"justice"
"yopmail+annonymous@make.org";"Il faut stopper, un temps, tous droits aux prestations sociales (CAF RSA HLM...) aux familles de délinquants mineurs";"justice"
"yopmail+kevin@make.org";"Il faut accorder un pourcentage de sièges à l'assemblée nationale proportionnel au pourcentage du vote blanc à des citoyens tirés au sort";"élections|participation citoyenne"
"yopmail+annonymous@make.org";"Il faut rendre le vote obligatoire";"élections"
"yopmail+germain@make.org";"Il faut définir des thèmes sur lesquels les candidats à la présidentielle doivent obligatoirement se positionner.";"élections"
"yopmail+annonymous@make.org";"Il faut une décentralisation du pouvoir, des régions plus fortes permettant de rapprocher les décisions des citoyens.";"collectivités locales"
"yopmail+remi@make.org";"Il faut donner au peuple le droit de grâce, plutôt qu'au Président de la République.";"participation citoyenne"
"yopmail+annonymous@make.org";"Il faut supprimer la moitié des sénateurs et députés";"institutions"
"yopmail+francois@make.org";"Il faut mettre en place des programmes de déradicalisation séparés des prisons avec intervention d'anciens radicalisés";"religions & laïcité|justice"
"yopmail+alizee@make.org";"Il faut que une loi interdise les députés Européens de travailler parallèlement pour les multinationales";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut tirer au sort un groupe de citoyens chargés de contrôler les actions des élus";"participation citoyenne"
"yopmail+rene@make.org";"Il faut que ce soit une commission de citoyens qui vote les traitements et avantages des élus";"participation citoyenne|élections"
"yopmail+beatrice@make.org";"Il faut par referendum voter les attributions financières ( salaire, indemnités etc..) des hommes politiques";"participation citoyenne|élections"
"yopmail+laurent@make.org";"Il faut la police de proximité avec une sensibilisation dès l'école pour montrer à la jeunesse leur véritable utilité";"police"
"yopmail+coralie@make.org";"Il faut interdire les sondages pendant les campagnes électorales car ils pèsent sur le vote des citoyens";"élections|exemplarité & transparence"
"yopmail+hugo@make.org";"Il faut faire des expérimentations de démocratie directe dans les collectivités à moins de 1000 habitants";"participation citoyenne|collectivités locales"
"yopmail+charlotte@make.org";"Il faut que l'État et les collectivités promeuvent et financent différentes formes de démocratie à toutes les échelles territoriales";"collectivités locales"
"yopmail+annonymous@make.org";"Il faut que les policiers puissent utiliser leurs armes en cas de légitime défense";"police"
"yopmail+annonymous@make.org";"Il faut revoir notre politique étrangère et cesser d'intervenir dans des pays étrangers.";"militaire"
"yopmail+annonymous@make.org";"Il faut condamner plus sévèrement les propos et commentaires haineux";"justice"
"yopmail+maximilien@make.org";"Il faut que les négociations et discussions avec des représentants du privé se fassent en toute clarté pour les citoyens";"exemplarité & transparence|exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut appliquer les peines planchers pour trafic de drogue, sans aucune exception";"justice|criminalité"
"yopmail+annonymous@make.org";"Il faut que tout individu titulaire d'une carte de séjour qui commet un crime ou un délit se voit retirer sa carte.";"justice"
"yopmail+annonymous@make.org";"Il faut généraliser la vidéo surveillance dans les centres ville, à l'image de Londres.";"criminalité"
"dj_zorn@msn.com";"Il faut pouvoir voter pour plusieurs candidats (ou listes), afin d'éviter de devoir orienter son choix vers un unique ""vote utile""";"élections"
"yopmail+jean-pierre@make.org";"Il faut des élections législatives à la proportionnelle";"élections"
"yopmail+annonymous@make.org";"Il faut autoriser le port d'armes des policiers hors-service";"police"
"n.harmand@laposte.net";"Il faut mettre en place des budgets participatifs à toutes les échelles (commune, région, pays, Europe).";"collectivités locales"
"yopmail+laurent@make.org";"Il faut que les fonctionnaires démissionnent definitivement de la fonction publique pour se presenter à une élection";"élections"
"yopmail+rene@make.org";"Il faut faciliter le vote par internet";"élections"
"yopmail+emilie@make.org";"Il faut renforcer les échanges européens d'information dans la lutte contre le terrorisme et les trafics illégaux.";"criminalité|terrorisme"
"yopmail+benoit@make.org";"Il faut changer le système électoral par le système du jugement majoritaire.";"élections"
"yopmail+thibaut@make.org";"Il faut accompagner les jeunes dans une réflexion réelle sur la radicalisation pour répondre à leurs craintes et à leurs questions";"religions & laïcité"
"gabi.strav@gmail.com";"Il faut que la France devienne une démocratie directe comme la Suisse. ";"exemplarité & transparence"
"yopmail+janis@make.org";"Il faut des représentants pour les habitants étant en incapacité de voter et voulant s'exprimer (réfugiés,jeunesse, etc)";"élections|exemplarité & transparence"
"yopmail+raphael@make.org";"Il faut expliquer davantage l'action de l'UE de manière simple et pédagogique.";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut interdire la ré-élection des députés qui sont très souvent absents et qui n'ont aucune activité / aucune action";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut faire preuve de fermeté envers toute forme d'extrémisme religieux et punir sévèrement les prêcheurs de haine";"religions & laïcité"
"yopmail+annonymous@make.org";"Il faut des fouilles de bagages et des portiques de sécurité à l'entrée des trains";"criminalité"
"yopmail+annonymous@make.org";"Il faut un 'csa du bullshit politique' multi-partiste assainissant le débat et redonnant les chiffres réels aux citoyens";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut confier la passation des marchés publics aux services du préfet et non aux élus afin de limiter le favoritisme";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut que les élus declarent tous les liens qu'ils ont avec les lobbies";"élections|exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut désigner des conseils de citoyens diversifiés pour réfléchir aux problèmes qui intéressent les Français";"participation citoyenne|institutions"
"yopmail+guillaume@make.org";"Il faut interdire les signes religieux dans l'espace public";"religions & laïcité"
"n.harmand@laposte.net";"Il faut sanctionner les médias propageant des fake-news avérées ou qui manipulent leur public clairement à dessein.";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut que les indemnités des parlementaires ou des sénateurs soient aux frais réels";"élections"
"yopmail+annonymous@make.org";"Il faut interdire les cumuls d'indemnités de retraite";"élections"
"yopmail+annonymous@make.org";"Il faut associer des citoyens tirés au sort à la rédaction des lois et en particulier de la constitution";"participation citoyenne"
"yopmail+herve@make.org";"Il faut donner le choix aux petits délinquants récidivistes entre la prison ou un engagement de 5 ans dans l'armée";"militaire|justice"
"yopmail+annonymous@make.org";"Il faut que les politiques justifient d'un certain nombres d'années en milieu professionnel";"exemplarité & transparence|exemplarité & transparence"
"yopmail+yann@make.org";"Il faut tirer au sort dans la population une partie des parlementaires.";"élections|institutions"
"yopmail+franck@make.org";"Il faut un site internet où les votes et la participation de tous les élus sont référencés.";"exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut ...aussi changer les hauts fonctionnaires de l'état à chaque élection.";"institutions|exemplarité & transparence"
"yopmail+leonie@make.org";"Il faut obliger chaque classe de collège à visiter le Sénat ou l'Assemblée";"éducation civique"
"yopmail+annonymous@make.org";"Il faut définir un temps de présence obligatoire en hémicycle pour les parlementaires.";"exemplarité & transparence|élections"
"yopmail+annonymous@make.org";"Il faut que si une personne obtient moins de 30% des voies à une élection, elle ne puisse plus s'y présenter.";"élections|exemplarité & transparence"
"yopmail+julien@make.org";"Il faut remettre l'éducation au centre des préoccupations avec des cours pour apprendre à devenir citoyen-électeur (S-P)";"éducation civique"
"yopmail+romain@make.org";"Il faut une fouille complète sans restriction chez les suspectés de trafic, de terrorisme ou autre.";"terrorisme|justice"
"yopmail+arthur@make.org";"Il faut supprimer le C.E.S.E.";"institutions"
"yopmail+annonymous@make.org";"Il faut plus de pédagogie sur ce qui est accompli par le gourvernement. Ex : une émission bilan mensuelle ou trimestrielle";"exemplarité & transparence"
"yopmail+remi@make.org";"Il faut se focaliser sur les foyers de radicalisation et endiguer le sentiment d'exclusion de ceux qui y vivent.";"religions & laïcité"
"yopmail+pierre@make.org";"Il faut obliger la réembauche au même poste d'un employé qui est élu.";"élections"
"yopmail+benjamin@make.org";"Il faut équiper les vitres de tous les véhicules des forces de l'ordre avec du film anti-effraction.";"police|criminalité"
"n.harmand@laposte.net";"Il faut standardiser les supports argumentatifs des politiques pour stopper l'explosion de la communication pure dans la campagne électorale";"élections|exemplarité & transparence|exemplarité & transparence"
"n.harmand@laposte.net";"Il faut mettre en place des contrôles pour s'assurer de faire des choix basés sur des faits avérés (le vrai du faux des programmes/débats).";"exemplarité & transparence"
"morganhimbaut@gmail.com";"Il faut que les citoyens puissent voter pour un programme en remplacement des ministres, et que le président soit au service des idées élues";"élections|participation citoyenne"
"yopmail+alexis@make.org";"Il faut une élection indirecte pour élire le président : élection par l'Assemblée, à une majorité de deux tiers.";"élections"
"yopmail+maxime@make.org";"Il faut sanctionner les parlementaires qui ont eu une absence injustifiée lors d'une séance de vote";"exemplarité & transparence"
"gabi.strav@gmail.com";"Il faut que les citoyens reprennent leur droits.";"participation citoyenne"
