"user";"content";"tags"
"yopmail+jean@make.org";"Il faut un gouvernement européen et une démocratie europeenne car l'union européenne n'est pas une institution démocratique";"ONU & institutions|Union Européenne"
"yopmail+geoffrey@make.org";"Il faut indexer le montant de l'aide au développement sur le PIB";"développement"
"yopmail+barbara@make.org";"Il faut organiser un référendum sur la sortie de la France de l'UE";"ONU & institutions|Union Européenne"
"yopmail+maelle@make.org";"Il faut sensibiliser la population des pays les plus développés à l'importance de la solidarité entre pays face aux enjeux globaux";"ONU & institutions"
"yopmail+regis@make.org";"Il faut créer l'Open Source des brevets et innovations technologiques permettant de décarboner les économies entre le Nord et le Sud";"ONU & institutions"
"yopmail+annonymous@make.org";"Il ne faut intervenir d'aucune manière en Syrie";"Moyen-Orient|guerres"
"yopmail+denis@make.org";"Il faut un exécutif européen élu";"ONU & institutions|Union Européenne"
"yopmail+annonymous@make.org";"Il faut répartir les migrants en Europe selon les capacités d'accueil (logement, emploi, fonds sociaux ...)";"Union Européenne|immigration"
"n.harmand@laposte.net";"Il faut promouvoir l'espéranto comme langue commune européenne et l'enseigner comme langue vivante dans les écoles/collèges/lycées";"ONU & institutions"
"yopmail+jean-michel@make.org";"Il faut bannir les espèces dans l'UE pour lutter contre la fraude et les trafics";"Union Européenne"
"yopmail+angelique@make.org";"Il faut créer une banque durable mondiale : financer des infrastructures éco-responsables pour le mieux vivre de tous. Ici c'est là bas.";"ONU & institutions"
"yopmail+yann@make.org";"Il faut que l'Europe se construise par le biais de conventions démocratiques dans tous les États membres.";"ONU & institutions|Union Européenne"
"emmamoizan@sfr.fr";"Il faut organiser des voyages humanitaires, des échanges entre les lycées et les pays pauvres du monde pour les sensibiliser.";"humanitaire"
"yopmail+bellier@make.org";"Il faut diminuer le salaire des députés européens et leurs avantages qui ne sont pas justifiés";"ONU & institutions|Union Européenne"
"yopmail+christophe@make.org";"Il faut uniformiser les règles entre les pays de l'UE et taxer les importations qui ne respectent pas nos standards";"commerce|Union Européenne"
"yopmail+arnaud@make.org";"Il faut faire élire un Président de l'Europe au suffrage indirect et arrêter les présidences tournantes";"ONU & institutions|Union Européenne"
